Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Finland,FIN,12485.6836482847,15305.409808607,15056.2155775741,15489.9556948907,15464.1776808236,15805.3857067097,15508.1691812129,14688.7364832862,15646.5861772306,14749.7185978813,14352.4852025758,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,France,FRA,5966.42571193236,7223.79633393452,7201.35903754195,7269.89155223426,7220.98472130526,7148.74642241051,7049.57659279671,6676.20694393923,6942.44523564921,6677.39513463708,6456.64409937944,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Gabon,GAB,887.435018002834,847.46294211538,965.218332876855,1011.28121330892,1038.99114469841,1017.0328135467,1014.68179737585,1022.15721673565,1011.47715214484,1065.10467769784,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Georgia,GEO,3039.15035401916,1574.3914041516,2727.58313746418,2873.23558251431,3068.39799528112,3268.97620291589,3311.95343427341,3150.65667109712,3604.85464904641,3682.96097887624,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Germany,DEU,6639.73169146049,6635.42140596667,7032.02144106578,6972.36527283762,6947.26382648139,6815.82136213371,6580.29256436905,6367.10502947955,6582.54587433797,6285.24659632329,6045.29298751201,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Ghana,GHA,310.497518358328,320.210426322397,306.209199113969,357.703181095504,408.852814786176,444.388811977184,469.785528590296,503.546668885278,542.211680584058,552.502821188307,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Gibraltar,GIB,2720.58823529412,4366.81222707424,6537.5229717109,6179.80866361638,6044.67805519054,5996.44230217479,6001.01425593058,5750.14513587482,5860.3288295621,5424.23356111569,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Greece,GRC,3221.40532041842,4586.32987001065,5229.42536205225,5500.84999300759,5616.3461503593,5059.03260652637,5118.46106292896,4851.28940714574,4997.1582541623,4827.78285698736,4534.19835572963,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Guatemala,GTM,193.467470040521,329.127567451489,615.837607705058,640.98308660279,632.388135295207,652.451948377285,653.188065835417,679.252131304795,784.094234500942,669.883594558613,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Haiti,HTI,60.3987983848719,36.4921702616272,84.0045301628529,86.5861147170438,83.196567420557,81.2781041166128,81.4936259827974,77.7313958708798,77.189622549779,74.8460960850015,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Honduras,HND,366.028389185959,488.767246908642,687.105167578639,699.291783799634,737.160931263289,739.359419817905,776.979600916486,676.901549857505,780.475801605792,757.081126374635,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Hong Kong SAR, China",HKG,4177.92970461916,5825.95648912228,6406.40215050814,6390.4260829267,6290.10442027809,6298.07047205002,6338.12384288549,6164.81753776233,6477.18228541366,6374.67499761778,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Hungary,HUN,3426.55110069532,3309.2837106285,4099.44988473059,4182.48459372879,4325.41347201247,4404.65634514796,4460.37980620687,4458.18827999449,4719.10549768272,4680.96591412799,4601.66222798432,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Iceland,ISL,16148.2737240313,26201.5255774257,55085.1684476218,53842.8745613957,54301.1065812464,54646.5903646225,52576.1101388662,50719.9908312708,51135.5095028455,51258.7597479601,50082.7509412761,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,India,IND,270.904653711417,384.988418620172,841.084634870945,879.944208640028,918.313686962613,970.834176233242,988.272169542114,901.428810221876,964.228004078416,1074.84358827742,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Indonesia,IDN,160.674787896909,382.177177950589,809.551596536474,853.67949287855,877.299165639841,972.032619476883,994.537838522229,975.620438233498,1028.37477325366,1257.23679274733,..,..
